Date,Open*,High,Low,Close,Volume,Market Cap
4-Apr-17,0.033032,0.040702,0.028324,0.037455,78538096.00 ,1239170048.00 
5-Apr-17,0.037386,0.040178,0.035214,0.035544,42360300.00 ,1402530048.00 
6-Apr-17,0.035672,0.036843,0.029463,0.032665,48264600.00 ,1338210048.00 
7-Apr-17,0.03274,0.036935,0.030789,0.03632,36825000.00 ,1228290048.00 
8-Apr-17,0.036355,0.036895,0.034932,0.035849,14782600.00 ,1363900032.00 
9-Apr-17,0.035799,0.035799,0.032327,0.03402,15695600.00 ,1343049984.00 
10-Apr-17,0.034123,0.035091,0.032806,0.033598,12012700.00 ,1280150016.00 
11-Apr-17,0.033677,0.034576,0.032035,0.032952,11301000.00 ,1263420032.00 
12-Apr-17,0.033002,0.034794,0.032477,0.034336,13437000.00 ,1238109952.00 
13-Apr-17,0.034459,0.035574,0.033461,0.034383,15872400.00 ,1292790016.00 
14-Apr-17,0.034262,0.035127,0.032986,0.033779,8869300.00 ,1285920000.00 
15-Apr-17,0.033528,0.034281,0.033276,0.033955,4972610.00 ,1258400000.00 
16-Apr-17,0.03388,0.034002,0.033194,0.033462,5980280.00 ,1271609984.00 
17-Apr-17,0.0334,0.03406,0.032955,0.033655,7933260.00 ,1253560064.00 
18-Apr-17,0.033638,0.034021,0.032866,0.033184,8970210.00 ,1262530048.00 
19-Apr-17,0.033181,0.033387,0.029687,0.030173,13265600.00 ,1245350016.00 
20-Apr-17,0.030259,0.030611,0.027493,0.029984,25650400.00 ,1135699968.00 
21-Apr-17,0.029727,0.034044,0.029216,0.032779,28245700.00 ,1126210048.00 
22-Apr-17,0.033122,0.033279,0.031422,0.03177,9020550.00 ,1254840064.00 
23-Apr-17,0.031878,0.031974,0.030742,0.031278,4976320.00 ,1207680000.00 
24-Apr-17,0.031236,0.031436,0.030739,0.031384,6333250.00 ,1183369984.00 
25-Apr-17,0.031409,0.033826,0.031297,0.032346,13469200.00 ,1189920000.00 
26-Apr-17,0.03239,0.033509,0.032183,0.032797,11921700.00 ,1227079936.00 
27-Apr-17,0.032827,0.035377,0.032157,0.034816,16661600.00 ,1243640064.00 
28-Apr-17,0.034843,0.045111,0.034784,0.044475,81121600.00 ,1320039936.00 
29-Apr-17,0.044558,0.057719,0.044558,0.052868,114359000.00 ,1688070016.00 
30-Apr-17,0.052807,0.054646,0.049574,0.051607,41974200.00 ,2000600064.00 
1-May-17,0.05158,0.057779,0.049317,0.055115,61730100.00 ,1954089984.00 
2-May-17,0.054646,0.055639,0.05071,0.053908,33814700.00 ,2070240000.00 
3-May-17,0.053905,0.061435,0.052283,0.06049,42869000.00 ,2042179968.00 
4-May-17,0.061062,0.085499,0.059283,0.078914,153374000.00 ,-1981627392.00 
5-May-17,0.080229,0.106935,0.078704,0.093551,184430000.00 ,-1249837312.00 
6-May-17,0.093429,0.106144,0.093429,0.101791,88394200.00 ,-748807168.00 
7-May-17,0.101929,0.148274,0.098938,0.141763,249028992.00 ,-426197248.00 
8-May-17,0.14162,0.237587,0.135105,0.198212,402611008.00 ,1080302592.00 
9-May-17,0.199198,0.21689,0.134406,0.160074,214002000.00 ,-1029254656.00 
10-May-17,0.158471,0.201207,0.156363,0.186066,138792000.00 ,1719892480.00 
11-May-17,0.185035,0.194828,0.162431,0.183135,103699000.00 ,-1566824448.00 
12-May-17,0.18276,0.209535,0.180984,0.206068,123635000.00 ,-1589154816.00 
13-May-17,0.206697,0.223602,0.18698,0.214878,117101000.00 ,-672224768.00 
14-May-17,0.215179,0.223486,0.211186,0.220223,69732000.00 ,-347314688.00 
15-May-17,0.220069,0.27072,0.220069,0.27072,223923008.00 ,-159994368.00 
16-May-17,0.269824,0.349861,0.269824,0.349861,440881984.00 ,1745865728.00 
17-May-17,0.355124,0.43517,0.326358,0.394132,470974016.00 ,718398464.00 
18-May-17,0.394931,0.408012,0.331116,0.364869,237644000.00 ,-2051668992.00 
19-May-17,0.363505,0.363505,0.300794,0.327801,269894016.00 ,1121898496.00 
20-May-17,0.328631,0.370361,0.303941,0.351634,237792000.00 ,-221901824.00 
21-May-17,0.353164,0.367636,0.332222,0.336201,129765000.00 ,723397632.00 
22-May-17,0.338403,0.345412,0.270091,0.317954,265699008.00 ,154598400.00 
23-May-17,0.313347,0.354014,0.291893,0.323368,153050000.00 ,-810802176.00 
24-May-17,0.325054,0.357358,0.293009,0.29589,166168000.00 ,-359701504.00 
25-May-17,0.291834,0.303467,0.238308,0.246065,237804992.00 ,-1639801856.00 
26-May-17,0.245083,0.327812,0.245083,0.271808,253935008.00 ,784325632.00 
27-May-17,0.272697,0.283363,0.162345,0.212549,255532000.00 ,1840565248.00 
28-May-17,0.212887,0.242395,0.204652,0.229554,122253000.00 ,-447144448.00 
29-May-17,0.227189,0.24282,0.214777,0.23207,86555600.00 ,99895296.00 
30-May-17,0.232191,0.237367,0.205324,0.205324,92808704.00 ,291215360.00 
31-May-17,0.20536,0.247677,0.193839,0.24659,160620000.00 ,-735054848.00 
1-Jun-17,0.243946,0.336797,0.243946,0.333657,588819008.00 ,740835328.00 
2-Jun-17,0.333645,0.335809,0.29071,0.303448,293676992.00 ,998400.00 
3-Jun-17,0.30046,0.310863,0.277563,0.29458,155454000.00 ,-1280602112.00 
4-Jun-17,0.298386,0.313944,0.277185,0.299413,153488000.00 ,-1360701440.00 
5-Jun-17,0.299862,0.302394,0.2846,0.294003,78433504.00 ,-1303701504.00 
6-Jun-17,0.294028,0.294537,0.276248,0.284548,132720000.00 ,-1529001984.00 
7-Jun-17,0.284677,0.298379,0.278874,0.279783,145839008.00 ,-1890201600.00 
8-Jun-17,0.280902,0.29857,0.276441,0.289678,103152000.00 ,-2036001792.00 
9-Jun-17,0.289695,0.299493,0.285884,0.286019,102482000.00 ,-1769001984.00 
10-Jun-17,0.285806,0.288991,0.257879,0.260874,156720992.00 ,-1931001856.00 
11-Jun-17,0.259445,0.277735,0.259113,0.272759,114566000.00 ,1353655296.00 
12-Jun-17,0.273075,0.28329,0.247476,0.253964,149942000.00 ,1876065280.00 
13-Jun-17,0.253823,0.274659,0.2522,0.266153,111937000.00 ,1138185216.00 
14-Jun-17,0.265823,0.307854,0.263202,0.278447,431096000.00 ,1598065664.00 
15-Jun-17,0.278196,0.278923,0.240868,0.259266,191548000.00 ,2072265728.00 
16-Jun-17,0.259473,0.266211,0.252408,0.262068,88152400.00 ,1345355776.00 
17-Jun-17,0.262358,0.270717,0.258105,0.268351,121948000.00 ,1455865856.00 
18-Jun-17,0.268085,0.289468,0.265078,0.2846,232512000.00 ,1675065344.00 
19-Jun-17,0.283977,0.296068,0.280233,0.296068,164955008.00 ,-2011301888.00 
20-Jun-17,0.292194,0.339533,0.290147,0.324427,793609984.00 ,-1696701440.00 
21-Jun-17,0.324623,0.32776,0.283614,0.296366,358492992.00 ,-455002112.00 
22-Jun-17,0.299886,0.305852,0.291519,0.297848,194551008.00 ,-1402196992.00 
23-Jun-17,0.297718,0.320751,0.295551,0.319978,177220992.00 ,-1484851200.00 
24-Jun-17,0.319188,0.327117,0.306487,0.31111,313710016.00 ,-662762496.00 
25-Jun-17,0.310816,0.311157,0.289148,0.298423,158844992.00 ,-983311360.00 
26-Jun-17,0.29877,0.30198,0.260819,0.277288,280100000.00 ,-1444598784.00 
27-Jun-17,0.277288,0.27881,0.251052,0.276306,186951008.00 ,2027814912.00 
28-Jun-17,0.275391,0.28149,0.26784,0.280455,126278000.00 ,1955183616.00 
29-Jun-17,0.280565,0.280873,0.264175,0.265421,89745296.00 ,-2141681664.00 
30-Jun-17,0.26606,0.26916,0.262242,0.26293,67764496.00 ,1597882368.00 
1-Jul-17,0.262855,0.263053,0.252966,0.254744,53611000.00 ,1475136512.00 
2-Jul-17,0.254512,0.259951,0.250944,0.259449,54095000.00 ,1155663872.00 
3-Jul-17,0.258977,0.262354,0.255666,0.259959,60367800.00 ,1326648320.00 
4-Jul-17,0.259841,0.262258,0.254387,0.254709,56008900.00 ,1359737856.00 
5-Jul-17,0.255125,0.261713,0.254275,0.256523,73292096.00 ,1179170816.00 
6-Jul-17,0.256374,0.257148,0.253303,0.254641,43845800.00 ,1226976256.00 
7-Jul-17,0.254858,0.255431,0.238892,0.23948,88408000.00 ,1168931840.00 
8-Jul-17,0.239741,0.239741,0.221769,0.236134,124578000.00 ,590068736.00 
9-Jul-17,0.236884,0.248501,0.233416,0.233416,82755000.00 ,480687104.00 
10-Jul-17,0.234067,0.234067,0.185418,0.203165,119367000.00 ,372834304.00 
11-Jul-17,0.196415,0.20332,0.168265,0.185019,271415008.00 ,-1068943360.00 
12-Jul-17,0.184198,0.205898,0.177162,0.205354,153023008.00 ,-1536750592.00 
